"IMO Number...1","Name...2","Ship type","Total fuel consumption [m tonnes]","Total CO₂ emissions [m tonnes]","Total CH₄ emissions [m tonnes]","Total N₂O emissions [m tonnes]","Total CO₂eq emissions [m tonnes]","Time spent at sea [hours]","Fuel consumption per distance [kg / n mile]","CO₂ emissions per distance [kg CO₂ / n mile]","Fuel consumption per transport work (mass) [g / m tonnes · n miles]","CO₂ emissions per transport work (mass) [g CO₂ / m tonnes · n miles]","CO₂ emissions from all voyages between ports under a MS jurisdiction [m tonnes]","CO₂ emissions from all voyages which departed from ports under a MS jurisdiction [m tonnes]","CO₂ emissions from all voyages to ports under a MS jurisdiction [m tonnes]"
"1014606","SEA GOAT","Bulk carrier",928.97,2913.99,0.05,0.17,2959.6,1214.4,62.61,196.4,2.27,7.12,433.83,1140.01,1258.41
"1014618","BIRD OF PARADISE","Bulk carrier",251.85,791.79,0.01,0.05,804.16,375.1,58.56,184.09,2.04,6.43,0,631.59,135.23
"1014838","WARRIOR","Bulk carrier",1195.54,3728.98,0.06,0.22,3787.68,2024.1,56.27,175.51,2.2,6.85,591.49,777.66,2204.49
"1014840","ALLEGRA","Bulk carrier",656.85,2070.05,0.03,0.12,2102.3,889.2,67.78,213.62,2.93,9.24,621.53,1228.56,88.81
"1014979","LOLITA","Bulk carrier",895.54,2810.63,0.04,0.16,2854.61,1509.7,56.81,178.31,2.18,6.86,412.3,0,2367.72
"1015155","SPAR MAIA","Bulk carrier",1279.95,3995.76,0.06,0.23,4058.61,1613.2,68.2,212.89,1.65,5.16,248.12,875.06,2769
"1023736","C.S. COSMOS","Bulk carrier",360.38,1135.69,0.02,0.06,1153.38,626.08,49.65,156.46,3.62,11.42,0,0,1135.69
"7043843","TALOS","Ro-ro ship",1161.82,3677.71,0.06,0.21,3734.76,1421.6,66.09,209.22,177.88,563.07,3290.58,0,0
"7226952","FJARDVAGEN","Ro-ro ship",1304.5,4182.23,0.07,0.23,4246.28,2563.8,39.87,127.82,81.98,262.84,3206,0,0
"7422881","YEOMAN BANK","Bulk carrier",4131.12,13191.98,0.21,0.74,13394.82,4653.7,89.45,285.65,5.82,18.57,3409.46,4292.65,4291.92
"7432733","AGIOS GEORGIOS","Ro-ro ship",1799.71,5729.31,0.09,0.32,5817.67,1181.16,112.33,357.61,178.79,569.18,5233.5,0,0
"7724265","IOSIF K","Ro-ro ship",1916.1,6143.02,0.1,0.34,6237.1,2159.1,69.74,223.59,118.17,378.86,5827.45,0,0
"7926148","ALGOMA VALUE","Bulk carrier",768.57,2411.3,0.04,0.14,2449.04,763.65,114.71,359.9,2.96,9.29,0,1425.4,947.84
"8000836","KUBROSLI Y","General cargo ship",382,1224.69,0.02,0.07,1243.45,156.17,38.68,124.01,5.95,19.09,22.44,502.7,578.36
"8001024","CSL ELBE","Bulk carrier",1481.73,4750.41,0.07,0.27,4823.16,2847,51.43,164.89,11.59,37.17,4098.83,0,0
"8009076","GULF LIVESTOCK 2","Other ship types",971.68,3063.81,0.05,0.17,3111.52,1265.6,83.46,263.17,104.94,330.88,0,1089.44,1867
"8009545","SIRIOS CEMENT I","Bulk carrier",1114.68,3519.98,0.06,0.2,3574.71,3057,43.38,137,7.03,22.2,397,1314,1556
"8020599","AKRITAS","Ro-ro ship",7024.72,21974.24,0.35,1.26,22319.15,5196.68,105.31,329.41,54.99,172.01,14873.15,2587.69,2940.08
"8025381","SEA MAJESTY","Bulk carrier",203.45,644.12,0.01,0.04,654.11,499.2,44.14,139.74,5.54,17.55,0,213.3,418.31
"8027573","ZEKO Y","General cargo ship",426.9,1368.64,0.02,0.08,1389.6,141.25,40.19,128.86,10.43,33.45,9.62,596,635.11
"8107000","MOHAMAD Y","General cargo ship",164.5,527.39,0.01,0.03,535.46,124,33.53,107.5,4,12.82,14.43,40.08,434.73
"8110681","BONTRUP AMSTERDAM","Bulk carrier",4874.87,15332.04,0.24,0.88,15571.4,4618.19,107.49,338.07,4.34,13.65,9014.62,2793.47,2450.43
"8125454","ARAL","Chemical tanker",1640.89,5132.86,0.08,0.3,5213.43,3746.7,40.29,126.03,10.75,33.61,1402.53,1407.07,2173.3
"8130875","MIGHTY SERVANT 1","Other ship types",4676.5,14992.86,0.23,0.84,15222.48,2498.44,201.86,647.15,65.5,210,250.71,6832.95,7571.29
"8130899","MIGHTY SERVANT 3","Other ship types",1947.3,6243.04,0.1,0.35,6338.66,1024.58,171.63,550.24,22.88,73.37,0,6243.04,0
"8200577","EXPRESS M","Other ship types",1790.64,5664.58,0.09,0.32,5752.51,4907.83,45.4,143.63,122.02,386.01,1.28,3068.53,2338.9
"8202018","IRON DESTINY","Bulk carrier",143.9,452.41,0.01,0.03,459.47,76.42,220.47,693.13,5.16,16.24,0,244.01,88.66
"8204250","NABOLSI","Other ship types",1383.5,4324.83,0.07,0.25,4392.75,1548,63.13,197.35,72.66,227.15,0,3379.74,806.13
"8214889","HAJE HALIMEH","General cargo ship",403.69,1277.42,0.02,0.07,1297.24,1392.9,37.6,118.97,6.25,19.79,0,547.68,674.43
"8401145","LYKTOS","Ro-ro ship",54.7,175.37,0,0.01,178.06,84,55.82,178.95,50.23,161.04,0,92,77
"8408650","SPRING","General cargo ship",161.4,511.23,0.01,0.03,519.16,467.42,43.05,136.37,9.45,29.93,0,248.04,239.79
"8414726","ZHEN HUA 24","Other ship types",423.76,1323.35,0.02,0.08,1344.16,362.18,117.74,367.7,15.69,49.01,0,0,1323.35
"8414738","ZHEN HUA 23","Other ship types",611.89,1916.92,0.03,0.11,1946.96,537.3,116.44,364.78,193.74,606.95,0,1916.92,0
"8415794","SEA PATRIS","Vehicle carrier",5591.76,17492.77,0.28,1.01,17767.32,6515.44,72.14,225.68,36.97,115.66,11028.27,3030.46,2992.04
"8417118","SAFFET BEY","Ro-ro ship",2587.15,8103.17,0.13,0.47,8230.2,4075.2,64.48,201.95,84.21,263.74,199.57,3915.13,3884.27
"8418265","BR BROTHER","General cargo ship",464.44,1468.88,0.02,0.08,1491.69,479.19,35.9,113.53,7.91,25.02,347.41,249.62,781.88
"8500630","ATLANTIC LADY","Refrigerated cargo carrier",566.9,1809.52,0.03,0.1,1837.36,761.47,91.84,293.14,69.38,221.45,0,1131.94,495.48
"8501464","ULUSOY-5","Ro-ro ship",1887.89,5911.99,0.09,0.34,6004.69,3534.21,65.76,205.93,99.37,311.19,1156.27,2028.91,2593.75
"8509557","NOVIY SVET","Refrigerated cargo carrier",261.9,834.87,0.01,0.05,847.73,358.83,79.65,253.9,36.77,117.21,0,390.91,290.72
"8512279","TRANSSHELF","Other ship types",5727.89,18363.62,0.29,1.03,18644.85,3077.38,160.47,514.48,15.4,49.36,0,8404.68,9575.43
"8512619","AFRICAN A","General cargo ship",39,123.38,0,0.01,125.3,154.33,30.76,97.31,13.24,41.9,0,41.56,77.66
"8519710","SILVER SUN","Vehicle carrier",3984.1,12523.46,0.2,0.72,12719.08,4420,71.74,225.5,16.92,53.19,304.3,4839.9,7009.7
"8520836","DAYTONA-H","Bulk carrier",305.98,980.97,0.02,0.06,996,1414.32,37.45,120.07,4.31,13.82,18.27,319.48,581.06
