"IMO Number...1","Name...2","Ship type","PC1","PC2","PC3"
"1014606","SEA GOAT","Bulk carrier",-1.50353771184768,-0.269353660862733,-0.167976554914802
"1014618","BIRD OF PARADISE","Bulk carrier",-2.01052378603909,-0.514961052774025,-0.493130274483717
"1014838","WARRIOR","Bulk carrier",-1.22026341447448,-0.0231352041115,0.217642509713468
"1014840","ALLEGRA","Bulk carrier",-1.71486373590678,-0.274808251516634,-0.352462331276238
"1014979","LOLITA","Bulk carrier",-1.46524849333459,-0.182085808836287,0.0120609454115991
"1015155","SPAR MAIA","Bulk carrier",-1.24329216130565,-0.251530370420245,0.0530700050523916
"1023736","C.S. COSMOS","Bulk carrier",-1.90848415102306,-0.459415437681103,-0.355021847970358
"7043843","TALOS","Ro-ro ship",-1.39676936892402,0.446769855785324,-0.471604027386451
"7226952","FJARDVAGEN","Ro-ro ship",-1.14092273048245,0.779076018251417,0.109117745110145
"7422881","YEOMAN BANK","Bulk carrier",0.764110837999745,0.972987469220731,0.932090670406515
"7432733","AGIOS GEORGIOS","Ro-ro ship",-1.12572862941649,0.710075304851301,-0.911581138885822
"7724265","IOSIF K","Ro-ro ship",-0.878572216828437,1.12027937967311,-0.500298890101113
"7926148","ALGOMA VALUE","Bulk carrier",-1.6639776821344,-0.484499974115827,-0.332769257749963
"8000836","KUBROSLI Y","General cargo ship",-1.98412809542079,-0.599987830861887,-0.613337938294314
"8001024","CSL ELBE","Bulk carrier",-0.98176117985137,1.02174224256046,0.117734364654159
"8009076","GULF LIVESTOCK 2","Other ship types",-1.46960114216481,-0.353374090001387,-0.0757853856211908
"8009545","SIRIOS CEMENT I","Bulk carrier",-1.07887975881584,0.278490714916681,0.769089219046535
"8020599","AKRITAS","Ro-ro ship",2.20928873327213,3.32404217955704,-0.582719801223144
"8025381","SEA MAJESTY","Bulk carrier",-2.01322323109539,-0.468896075785033,-0.418492048781511
"8027573","ZEKO Y","General cargo ship",-1.96155440847091,-0.615273684957125,-0.623315256096509
"8107000","MOHAMAD Y","General cargo ship",-2.10436722205835,-0.576657153872788,-0.608072236864453
"8110681","BONTRUP AMSTERDAM","Bulk carrier",1.06938130090152,2.13521189252447,0.0846209854216488
"8125454","ARAL","Chemical tanker",-0.67978201706451,0.631458296492462,0.950046802704707
"8130875","MIGHTY SERVANT 1","Other ship types",0.77261307074748,-0.583022924091636,0.231990432464637
"8130899","MIGHTY SERVANT 3","Other ship types",-0.969107644100856,-0.609267343922852,-0.34578201016082
"8200577","EXPRESS M","Other ship types",-0.374950798660863,0.661020690789208,1.71483341834228
"8202018","IRON DESTINY","Bulk carrier",-2.12820427402379,-0.585885009111728,-0.635372133963073
